[Student ID],[Student Name],Case,20,Lab 01,10,Lab 02,10,Lab 03,10,Lab 04,10,Lab 05,10,Final,30
20000001,Matthew,93.33,100.00,100.00,100.00,100.00,95.00,84.50
20000002,Sing,86.67,100.00,100.00,100.00,100.00,95.00,78.00
20000003,Kenneth,78.67,100.00,100.00,100.00,100.00,100.00,77.50
20000004,Weber,69.33,100.00,100.00,100.00,100.00,100.00,81.50
20000005,Charles,64.00,100.00,100.00,100.00,100.00,100.00,82.50
20000006,Fun,85.33,100.00,95.00,100.00,100.00,100.00,70.50
20000007,Tany,78.67,100.00,95.00,100.00,100.00,100.00,70.50
20000008,Aaron,76.00,100.00,0.00,100.00,100.00,100.00,78.00
20000009,Ellen,69.33,100.00,100.00,100.00,100.00,100.00,70.00
20000010,Bennalt,62.67,100.00,95.00,100.00,100.00,100.00,72.50
20000011,Andy,62.67,100.00,100.00,100.00,0.00,100.00,78.50
20000012,Samuel,64.00,100.00,60.00,60.00,100.00,100.00,66.00
20000013,Tammy,0.00,100.00,95.00,100.00,100.00,100.00,69.00
